Req ID,Dashboard,Report / indicator,What the client wants to know,Logic (plain words),Visualisation,Filters (dropdowns),Click-through shows,Priority
P01,Practice · Participants,Participants by location,How many participants are registered in each location?,"Count every registered participant (not deleted), grouped by the location (City) of their address.",Number (total) + bar chart by location,"Location, Gender, Registration date (from–to)","List of participants in that location: name, gender, location, registration date",High
P02,Practice · Participants,Registrations over time,How many participants did we register each month?,"Count participants by the month of their registration date, split by gender. Months with no registrations must show 0.","Bar chart by month, stacked by gender","Location, Registration date (from–to)",Participants registered in the clicked month,High
P03,Practice · Participants,Age groups,What is the age profile of our participants?,"Age today from date of birth. Groups: Under 18, 18–25, 26–35, 36–50, 51 and above, Unknown.",Bar chart by age group,"Location, Gender",Participants in the clicked age group,Medium
P04,Practice · Participants,Education profile,What education levels do our participants have?,Count participants by Education. Show blanks as 'Not collected yet' (do not drop them).,Bar chart by education level,"Location, Gender",Participants with the clicked education level,Medium
P05,Practice · Cohorts & Sessions,Cohort status,"How many cohorts are On-Going, Completed or Dropped?","Count cohorts (not deleted) by Cohort Status, and by Community Type.",Three numbers + table (Community Type × Status),"Location, Engagement Type, Focus Stakeholders",List of cohorts with that status,High
P06,Practice · Cohorts & Sessions,Sessions per month,"How many sessions were conducted each month, by type of engagement?",Conducted = session has a date and was not cancelled. Engagement Type comes from the cohort. Months with none show 0.,"Bar chart by month, stacked by Engagement Type","Location, Cohort, Session date (from–to)","Sessions in the clicked month: cohort, date, topic(s), facilitator(s)",High
P07,Practice · Cohorts & Sessions,Topic coverage,"Which topics have we covered, and how often?",Count conducted sessions per topic. A session can cover several topics and counts once under each.,Bar chart by topic (highest first),"Location, Cohort, Session date (from–to)",Sessions that covered the clicked topic,Medium
P08,Practice · Cohorts & Sessions,Facilitator workload,How many sessions has each facilitator conducted?,Count conducted sessions per facilitator. A session can have more than one facilitator; count it for each.,"Table: facilitator, sessions (highest first)","Location, Session date (from–to)",That facilitator's sessions,Medium
P09,Practice · Cohorts & Sessions,Average session length,How long are our sessions on average?,"Average of Session Duration in minutes, by Engagement Type. Duration is recorded like 'PT1H30M' (1 h 30 min).","Table: engagement type, sessions, average minutes",Session date (from–to),Sessions with their duration in minutes,Hard
P10,Practice · Reach & Approvals,Donor reach,How many different people has each donor's work reached?,Distinct participants in cohorts funded by each donor. A person in two cohorts of the same donor counts once.,Bar chart by donor,"Location, Cohort Status",Participants reached by the clicked donor,Hard
P11,Practice · Cohorts & Sessions,Inactive cohorts,Which on-going cohorts have not met in the last 30 days?,On-Going cohorts with no conducted session in the last 30 days. Show last session date and days since.,Number + table,"Location, Facilitator",The inactive cohorts,High
P12,Practice · Reach & Approvals,Approval status,Where are cohort submissions in the approval process?,"For each cohort, take its LATEST 'Submission for approval'. Count cohorts by status: Approved, Pending, Rejected, Not submitted.",Pie chart,Location,Cohorts with the clicked status,Medium
P13,Practice · Participants,Active participants,How many participants are active?,Count of active participants.,Number,Location,List of active participants,Medium
P14,Practice · Reach & Approvals,Job placement,How many participants got a job after the program?,Count of participants employed after completing the program.,Number,"Location, Donor",List of placed participants,Low
